 5:lookupBolt 	__emit-count           	{default=10690760, __ack_ack=4808600}
 5:lookupBolt 	__process-latency      	{dataSpout:default=7.057455994686151E-4, querySpout:default=4.7932086225329485E-4}
 5:lookupBolt 	__receive              	{arrival_rate_secs=7213.891951488424, overflow=0, read_pos=409227, write_pos=409239, sojourn_time_ms=1.6634571297569922, capacity=8192, population=12}
 5:lookupBolt 	__ack-count            	{dataSpout:default=4817600, querySpout:default=10681780}
 5:lookupBolt 	__transfer-count       	{default=10690760, __ack_ack=4808600}
 5:lookupBolt 	__execute-latency      	{dataSpout:default=7.97988404231001E-4, querySpout:default=3.518201076419819E-4}
 5:lookupBolt 	__fail-count           	{}
 5:lookupBolt 	__sendqueue            	{arrival_rate_secs=264229.0091930541, overflow=0, read_pos=15499276, write_pos=15499371, sojourn_time_ms=0.3595366015644027, capacity=8192, population=95}
 5:lookupBolt 	__execute-count        	{dataSpout:default=4812100, querySpout:default=10687280}
 5:lookupBolt 	execute_count          	8011221
-1:__system   	uptimeSecs             	66.958
-1:__system   	__ack-count            	{}
-1:__system   	__transfer-count       	{}
-1:__system   	newWorkerEvent         	1
-1:__system   	__send-iconnection     	{}
-1:__system   	__fail-count           	{}
-1:__system   	startTimeSecs          	1.520857518223E9
-1:__system   	__emit-count           	{}
-1:__system   	memory/nonHeap         	{unusedBytes=1252640, virtualFreeBytes=-80798433, initBytes=2555904, committedBytes=82051072, maxBytes=-1, usedBytes=80798432}
-1:__system   	__process-latency      	{}
-1:__system   	__receive              	{arrival_rate_secs=0.11022927689594356, overflow=0, read_pos=-1, write_pos=0, sojourn_time_ms=9072.000000000002, capacity=8192, population=1}
-1:__system   	__transfer             	{arrival_rate_secs=0.0, overflow=0, read_pos=-1, write_pos=-1, sojourn_time_ms=0.0, capacity=1024, population=0}
-1:__system   	__execute-latency      	{}
-1:__system   	__sendqueue            	{arrival_rate_secs=0.0, overflow=0, read_pos=-1, write_pos=-1, sojourn_time_ms=0.0, capacity=8192, population=0}
-1:__system   	memory/heap            	{unusedBytes=3472621080, virtualFreeBytes=8814067224, initBytes=4294967296, committedBytes=8021082112, maxBytes=13362528256, usedBytes=4548461032}
-1:__system   	__execute-count        	{}
 4:lookupBolt 	execute_count          	8009519
 4:lookupBolt 	__emit-count           	{default=10683020, __ack_ack=4818860}
 4:lookupBolt 	__process-latency      	{dataSpout:default=9.141033684709128E-4, querySpout:default=4.266299415629251E-4}
